cicle; susceptible, infected data/(x1000 y1000 id15 hd0.1 ip0.5 ss0.9)
1;99999;1;
2;99999;1;
3;99999;1;
4;99999;1;
5;99999;1;
6;99999;1;
7;99999;1;
8;99999;1;
9;99999;1;
10;99999;1;
11;99999;1;
12;99998;2;
13;99998;2;
14;99998;1;
15;99998;1;
16;99998;1;
17;99998;1;
18;99998;1;
19;99998;1;
20;99998;1;
21;99998;1;
22;99998;1;
23;99998;1;
24;99998;1;
25;99998;1;
26;99998;0;
27;99998;0;
28;99998;0;
29;99998;0;
30;99998;0;
31;99998;0;
32;99998;0;
33;99998;0;
34;99998;0;
35;99997;1;
36;99997;1;
37;99997;1;
38;99997;1;
39;99997;1;
40;99997;1;
41;99997;1;
42;99997;1;
43;99997;1;
44;99997;1;
45;99997;1;
46;99997;1;
47;99997;1;
48;99995;2;
49;99995;2;
50;99995;2;
51;99994;3;
52;99993;4;
53;99993;4;
54;99991;6;
55;99991;6;
56;99990;7;
57;99989;8;
58;99989;8;
59;99989;8;
60;99989;8;
61;99988;7;
62;99987;8;
63;99987;8;
64;99987;7;
65;99987;7;
66;99987;6;
67;99987;5;
68;99987;4;
69;99986;4;
70;99986;3;
71;99986;3;
72;99985;4;
73;99985;4;
74;99984;4;
75;99982;6;
76;99980;7;
77;99977;10;
78;99976;11;
79;99974;13;
80;99974;13;
81;99973;14;
82;99973;13;
83;99969;17;
84;99967;19;
85;99967;18;
86;99966;19;
87;99964;21;
88;99963;19;
89;99961;21;
90;99959;18;
91;99957;19;
92;99955;21;
93;99955;19;
94;99955;18;
95;99952;21;
96;99952;19;
97;99950;17;
98;99946;21;
99;99945;22;
100;99944;20;
101;99943;21;
102;99936;25;
103;99935;25;
104;99932;25;
105;99930;26;
106;99928;27;
107;99928;27;
108;99926;27;
109;99922;30;
110;99921;29;
111;99918;29;
112;99918;28;
113;99916;29;
114;99910;34;
115;99907;30;
116;99902;33;
117;99899;33;
118;99894;38;
119;99890;38;
120;99884;44;
121;99877;50;
122;99873;51;
123;99868;53;
124;99858;62;
125;99854;64;
126;99848;69;
127;99838;75;
128;99829;78;
129;99820;85;
130;99814;87;
131;99809;86;
132;99803;89;
133;99796;94;
134;99788;92;
135;99772;102;
136;99764;105;
137;99759;101;
138;99749;107;
139;99746;107;
140;99729;113;
141;99721;113;
142;99708;116;
143;99699;118;
144;99686;126;
145;99675;131;
146;99665;135;
147;99651;139;
148;99633;144;
149;99620;151;
150;99607;156;
151;99589;164;
152;99579;168;
153;99564;172;
154;99542;179;
155;99518;194;
156;99503;198;
157;99481;214;
158;99465;217;
159;99443;227;
160;99426;229;
161;99404;242;
162;99382;248;
163;99353;261;
164;99335;264;
165;99303;282;
166;99283;289;
167;99256;293;
168;99217;313;
169;99189;319;
170;99159;332;
171;99121;352;
172;99092;366;
173;99054;384;
174;99020;394;
175;98982;412;
176;98944;428;
177;98898;447;
