cicle; susceptible, infected data/(x300 y200 id15 hd0.1 ip0.5 ss0.5)
1;5999;1;
2;5998;2;
3;5998;2;
4;5998;2;
5;5998;2;
6;5997;3;
7;5996;4;
8;5995;5;
9;5995;5;
10;5993;7;
11;5988;12;
12;5986;14;
13;5984;16;
14;5980;19;
15;5974;24;
16;5967;31;
17;5965;33;
18;5961;37;
19;5954;43;
20;5953;43;
21;5944;52;
22;5929;66;
23;5916;79;
24;5902;90;
25;5890;98;
26;5878;107;
27;5858;124;
28;5822;154;
29;5781;190;
30;5750;216;
31;5699;264;
32;5624;335;
33;5547;406;
34;5483;468;
35;5387;550;
36;5269;652;
37;5113;796;
38;4952;943;
39;4740;1148;
40;4550;1320;
41;4341;1497;
42;4105;1695;
43;3846;1914;
44;3574;2142;
45;3314;2344;
46;3027;2561;
47;2733;2783;
48;2463;2973;
49;2184;3145;
50;1940;3248;
51;1701;3335;
52;1493;3362;
53;1270;3369;
54;1110;3334;
55;962;3274;
56;846;3123;
57;730;2991;
58;600;2847;
59;498;2672;
60;425;2452;
61;347;2260;
62;296;2007;
63;241;1814;
64;191;1629;
65;155;1455;
66;132;1239;
67;111;1083;
68;96;935;
69;76;826;
70;59;731;
71;52;616;
72;43;504;
73;37;422;
74;27;356;
75;23;303;
76;21;251;
77;16;199;
78;14;159;
79;12;131;
80;10;111;
81;9;91;
82;7;79;
83;6;60;
84;5;52;
85;4;44;
86;3;35;
87;3;32;
88;3;21;
89;2;19;
90;0;17;
91;0;16;
92;0;13;
93;0;11;
94;0;9;
95;0;8;
96;0;7;
97;0;6;
98;0;4;
99;0;4;
100;0;3;
101;0;3;
102;0;2;
103;0;0;
